text,nutrient,pmid,label
"Patiromer, an oral potassium (K(+)) binder, has been shown to reduce the risk of HK and enable optimal RAASi dosing.",Potassium,40350541,0
"Selenium (p = 0.0001, OR 0.788, 95% CI 0.703-0.883) and Potassium (p = 0.045, OR 0.463, 95% CI 0.219-0.982) were significantly negatively associated with MM risk, suggesting a protective effect.",Potassium,40350422,1
"Potassium may protect against MM, while Calcium increases NMSC risk, with Vitamin B6 providing protection against NMSC.",Potassium,40350422,1
"The guide outlines key dietary restrictions associated with dialysis-specifically for phosphorus, potassium, sodium, and fluid intake-and presents alternatives using familiar Filipino foods.",Potassium,40349882,0
"Culturally relevant substitutions and preparation methods, such as boiling vegetables to reduce potassium levels and using low-sodium versions of popular dishes, are emphasized.",Potassium,40349882,0
"Ontology entries, especially those related to actin, transport protein for sodium-potassium ion channel, and the calcium pathway.",Potassium,40349820,0
"TNF, produced by renal epithelial cells, regulates glucose, electrolyte, water and urea transport by modulating key transporters such as sodium-glucose co-transporter-2 (SGLT2), sodium-potassium-chloride cotransporter 2 (NKCC2), sodium chloride cotransporter (NCC), epithelial sodium channel (ENaC), aquaporin-2 (AQP2) and urea transporters.",Potassium,40349332,0
"We show that subsets of Shox2 INs display persistent inward currents, M-type potassium currents, slow afterhyperpolarization and T-type calcium currents, which are enhanced with age.",Potassium,40349326,0
"By contrast, the hyperpolarization-activated and A-type potassium currents were either found with low prevalence in subsets of neonatal, juvenile, and adult Shox2 INs or did not developmentally change.",Potassium,40349326,4
"Electrophysiological recordings reveal that subsets of Shox2 INs express 'rhythmogenic properties', including persistent inward currents, M-type potassium currents and slow afterhyperpolarization, as well as corresponding ion channels/RNA.",Potassium,40349326,0
SL motoneurons exhibited a prominent calcium-sensitive potassium current that was not observed in GG motoneurons.,Potassium,40349324,0
"We discuss how 14-3-3 proteins act through three main mechanisms - masking, clamping, and scaffolding - to regulate target proteins, including Cx43, Ca(V)1.2, Na(V)1.5, and various potassium channels.",Potassium,40349303,0
"egoprazan (LXI-15028), a novel potassium-competitive acid blocker, has shown great efficacy in treating acid-related disorders.",Potassium,40349123,0
"The proportion of energy derived from dietary fat was 38.81 +/- 6.7%, with 13.39 +/- 2.99% coming from saturated fat. Intake levels of thiamine, folate, vitamin A, calcium, potassium, magnesium, and zinc were found to be inadequate.",Potassium,40349068,0
"Quantitative analyses revealed significant nutrient enrichment, with available phosphorus (AP), available potassium (AK), and nitrogen pools demonstrating differential responses.",Potassium,40348937,0
"This study evaluated the efficacy, safety, and cost of minocycline, ornidazole, esomeprazole, and bismuth (MOEB) therapy versus classical therapy (amoxicillin, clarithromycin, esomeprazole, and bismuth potassium citrate, ACEB) for Helicobacter pylori eradication.",Potassium,40348820,0
"The results demonstrated that the WZ14 strain exhibited strong adaptability and growth potential in heavy-metal-contaminated soil, significantly increasing soil organic carbon, hydrolyzed nitrogen, available phosphorus, and available potassium levels, thereby the total biomass of Sophora xanthantha and Robinia pseudoacacia L.",Potassium,40348261,0
"The objective of this study was to examine the impact of varying concentrations of potassium chloride (KCl) on the complex coacervation between ovalbumin (OVA) and chitosan (CS), and the properties of high internal phase emulsions (HIPEs) that were stabilized by the complex coacervate.",Potassium,40348233,0
KCNMA1 potassium channel has been implicated in the pathogenesis of various metabolic diseases.,Potassium,40348016,0
"This panting causes respiratory hypocapnia, which increases the renal excretion of buffer molecules including sodium, potassium, and bicarbonate.",Potassium,40346890,0
"A comparison of the HCTZ (n = 135), INDA (n = 125), and CTD (n = 27) groups identified differences in serum potassium (s-K; p = 0.03).",Potassium,40346873,1
"Significant variations in soil chemical properties such as organic matter content, soil moisture, availability of phosphorus, sulphur, sodium, calcium, potassium, magnesium, copper, zinc, manganese, and iron were observed across different distances from eucalyptus boundaries.",Potassium,40346164,0
"Immunohistochemistry revealed strong expression of sodium-potassium adenosine triphosphatase (Na(+)/K(+)-ATPase), a key component in generating electric discharge in the mEO, across most mEO regions, except in the ventral cluster cells.",Potassium,40345477,0
